id;level1;level2;level3;level3a;question;keywords
205;Information;Insurance policies;Accident insurance;Accident insurance for bank customers and financial companies, and personal account holders;Where is the insurance valid?;coverage, accident insurance for bank customers, financial companies, validity
206;Information;Insurance policies;Accident insurance;Personal Protection Insurance;General information;insurance, personal protection, coverage, packages
207;Information;Insurance policies;Accident insurance;Personal protection insurance;What does the insurance cover?;insurance, personal protection, coverage, packages
208;Information;Insurance policies;Accident insurance;Personal protection insurance;Where is the insurance valid?;insurance, personal protection, validity
209;Information;Insurance policies;Insurance for travel;Insurance abroad with health assistance - Travel insurance;What does the insurance cover?;travel insurance, what does it cover, coverage, concluding insurance, health assistance
210;Information;Insurance policies;Travel insurance;Foreign insurance with health assistance - Tourist insurance;I did not receive the card for Tourist insurance or I lost it, can I get a new card?;tourist insurance, health assistance, card, loss of card
211;Information;Insurance policies;Travel insurances;Abroad health insurance with health assistance - Travel insurance;Does the insurance cover the costs of treatment for Covid-19?;travel insurance, health assistance, corona, covid 19, covid, coverage, quarantine, costs, treatment
212;Information;Insurance policies;Travel insurance;Insurance abroad with health assistance - Tourist insurance;Does insurance cover quarantine costs?;tourist insurance, health assistance, corona, covid 19, covid, coverage, quarantine, costs
213;Information;Insurance policies;Travel insurance;Insurance abroad with medical assistance;What does the insurance cover?;insurance abroad, medical assistance, coverage, medical care, costs, foreign country
214;Information;Insurance policies;Travel insurance;Insurance abroad with health assistance;What can I additionally insure?;additional coverage, insurance abroad, health assistance, sport, competition, sports preparation, abroad
215;Information;Insurance policies;Travel insurance;Insurance abroad with health assistance;What does the insurance not cover?;not covered, not insured, insurance abroad, excludes
216;Information;Insurance policies;Travel insurance;Abroad insurance with health assistance;What are the coverage limitations?;limited coverage, abroad insurance, insurance amount
217;Information;Insurance policies;Travel insurance;Insurance abroad with health assistance;When and how can I pay the first premium amount?;insurance abroad, payment, payment method
218;Information;Insurance policies;Travel insurance;Insurance abroad with medical assistance;When does the insurance start and when does it cease to be valid?;period, insurance abroad, start of insurance, end of insurance, cease to be valid, begin to be valid
219;Information;Insurance policies;Travel insurance;Abroad insurance with health assistance;Where is the insurance valid?;where valid, area, region, countries, abroad insurance
220;Information;Insurance policies;Travel insurance;Foreign travel insurance with health assistance - Tourist insurance;How can I cancel the contract?;contract cancellation, policy termination, tourist insurance, required information
221;Information;Insurance policies;Travel insurance;Foreign insurance with health assistance;How do I make an informative calculation?;foreign insurance, informative calculation, representative, branch, online conclusion
222;Information;Insurance policies;Travel insurance;Insurance abroad with health assistance;What are my obligations?;Insurance abroad, health assistance, obligations, payment, registration, documentation
223;Information;Insurance policies;Travel insurance;Insurance abroad with health assistance;How can I withdraw from the contract?;Insurance abroad, health assistance, withdrawal from the contract, contract termination, insurance termination
224;Information;Insurance policies;Travel insurance;Cancellation of tourist trips insurance;Does the insurance cover cancellation costs in case we get sick with Covid-19?;cancellation of tourist trips insurance, Covid-19, illness, corona, coverage, cancellation, costs
225;Information;Insurance policies;Travel insurance;Trip cancellation insurance;Does the insurance cover costs in case the country we are traveling to closes its borders due to an epidemic?;trip cancellation insurance, covid 19, epidemic, closed borders, closed country, coverage, costs
226;Information;Insurance policies;Travel insurance;Cancellation insurance for tourist travel;What does the insurance cover?;Cancellation insurance for tourist travel, package, coverage, types of packages, combinations, package A, package B
227;Information;Insurance policies;Travel insurance;Tourist trip cancellation insurance;What does the insurance cover?;Tourist trip cancellation insurance, scope, tourist services, coverage
228;Information;Insurance policies;Travel insurance;Trip cancellation insurance;What is the price/premium of the insurance?;Trip cancellation insurance, price, premium, calculation, amount of insurance premium
229;Information;Insurance policies;Travel insurance;Trip cancellation insurance;How is the premium calculated?;trip cancellation insurance, price, premium, calculation, amount of insurance premium
230;Information;Insurance policies;Travel insurance;Cancellation of tourist travel insurance;Until when can I conclude the cancellation of tourist travel insurance?;Cancellation of tourist travel insurance, conclusion, insurance, deadline
231;Information;Insurance policies;Travel insurance;Cancellation travel insurance;How can I conclude insurance?;Cancellation travel insurance, conclusion, website, branch, representatives
232;Information;Insurance policies;Life insurance;Revaluation of life insurance;How can I reject the revaluation?;
233;Information;Insurance policies;Life insurance;Life insurance for the event of death;What additional coverage can I get?;additional insurance, life insurance, death, in case of death
234;Information;Insurance policies;Life insurance;Life insurance for death cases;What are the benefits of life insurance for death cases?;life insurance for death cases, insurance amount, purpose, payout
235;Information;Insurance policies;Life insurance;Life insurance for death case;What does insurance without savings mean?;without savings, life insurance for death case
236;Information;Insurance policies;Life insurance;Mixed life insurance;General information;mixed life insurance, investment life insurance, flex
237;Information;Insurance policies;Life insurance;Term life insurance;How much payout will I receive after the expiration?;term life insurance, insurance in case of death, life insurance, payout, no payout upon expiration, end of insurance, expiration
238;Information;Insurance policies;Life insurance;risky life insurance (insurance in case of death);General information;risky, Risk life insurance, payout, without payout upon expiration of insurance, end of insurance, expiration, digital certificate, web, life insurance
239;Information;Insurance policies;Life insurance;Life insurance 50 plus;General information;life insurance 50 plus, life insurance, general information, Autumn of life
240;Information;Insurance policies;Life insurance;Life insurance 50 plus;What is the amount on the policy?;life insurance 50 plus, amount, policy, life insurance
241;Information;Insurance policies;Life insurance;Life insurance 50 plus;Why do we still receive bills if the policyholder has died?;life insurance 50 plus, payout, bills, life insurance, policyholder's death
242;Information;Insurance policies;Life insurance;Life insurance for borrowers;General information;life insurance for borrowers, life insurance, credit
243;Information;Insurance policies;Life insurances;Annuity insurance;General information;annuity insurance, conclusion, terms, monthly annuity, insurance premium, lump sum, life insurance
244;Information;Insurance policies;Life insurance;Scholarship insurance;General information;life insurance, scholarship, basic, annuity, general information, flex, flex investment life insurance for children
245;Information;Insurance policies;Home insurance;Revaluation;What does revaluation (revalorization) mean?;
246;Information;Insurance policies;Home insurance;Package insurance for house/apartment;What are the benefits of concluding insurance in a package?;package insurance, house, apartment, home, property, benefits
247;Information;Insurance policies;Home insurance;Individual home insurances;How can I cancel the policy?;policy validity, termination, home insurance, cancellation
248;Information;Insurance policies;Home insurance;Individual home insurance policies;Is the bill settled/paid?;payment, premium, reminder, settled, home insurance
249;Information;Insurance policies;Home insurance;Individual home insurances;How can I report a claim to the policy?;claim report, accident report, home insurance
250;Information;Insurance policies;Home insurance;Individual home insurances;What additional coverage can I get?;home assistance, home insurance, coverage, additional insurance, liabilities, new home
251;Information;Insurance policies;Home insurance;Individual home insurance;What is not covered by the insurance?;home insurance, coverage, not included, not insured, policy
252;Information;Insurance policies;Home insurance;Home insurance DO 2021;What does the insurance cover?;home insurance, home insurance until 2021, package, insured, property insurance, coverage, policy
253;Information;Insurance policies;Home insurance;Home insurance DO 2021;What can I additionally insure?;Home, additional insurance, additional coverage, earthquake, machine breakdown, package, mechanical breakage, lightning
254;Information;Insurance Policies;Home Insurance;Home Insurance DO 2021;What is not covered by the insurance?;home insurance do 2021, coverage, not included, not insured, home
255;Information;Insurance policies;Home insurance;Home insurance up to 2021;What are the coverage limitations?;home insurance up to 2021, limited coverage, insurance sum, damage coverage, insurance contract
256;Information;Insurance policies;Home insurance;Home insurance DO 2021;When and how can I pay the first premium amount?;home insurance do 2021, payment method, payment, UPN, one-time premium
257;Information;Insurance policies;Home insurance;Home insurance DO 2021;When does the insurance start and when does it cease to be valid?;Home insurance DO 2021, validity, duration, start, end of validity, contract
258;Information;Insurance policies;Home insurance;Home insurance DO 2021;Where is the insurance valid?;home insurance DO 2021, area, region, validity, Europe, Slovenia
259;Information;Insurance policies;Home insurance;Home insurance DO 2021;How can I terminate the contract?;home insurance do 2021, withdrawal from the contract, termination, before expiry, notice period
260;Information;Insurance policies;Home insurance;Home insurance from 2021;What does the insurance cover?;home insurance from 2021, insured, contains, scope, coverage
261;Information;Insurance policies;Home insurance;Home insurance FROM 2021;What additional coverage can I have?;additional, home insurance from 2021, extra coverage, additional cover, package
262;Information;Insurance policies;Home insurance;Home insurance FROM 2021;What does the insurance not cover?;not insured, home insurance from 2021, coverage, limitation
263;Information;Insurance policies;Home insurance;Home insurance from 2021;What are the coverage limitations?;limited, home insurance from 2021, sum insured, insurance contract, coverage, limitation
264;Information;Insurance policies;Home insurance;Home insurance FROM 2021;When and how can I pay the first premium amount?;payment method, home insurance from 2021, premium, first installment
265;Information;Insurance policies;Home insurance;Home insurance from 2021;When does the insurance start and when does it expire?;end, home insurance from 2021, validity, duration
266;Information;Insurance policies;Home insurance;Home insurance FROM 2021;Where is the insurance valid?;area, home insurance from 2021, zone, country, validity
267;Information;Insurance policies;Home insurance;Home insurance FROM 2021;What are my obligations?;home insurance from 2021, obligations, duties, registration, conditions
268;Information;Insurance policies;Home insurance;Home insurance FROM 2021;How can I withdraw from the contract?;home insurance from 2021, withdrawal from contract, termination, termination conditions, withdrawal statement
269;Information;Insurance policies;Accident insurance;Individual accident insurance;General information;Individual accident insurance, general information, insurance benefit, coverage, abroad, validity
270;Information;Insurance policies;Accident insurance;Individual accident insurance;How is the amount of insurance compensation determined?;insurance compensation, payout, individual accident insurance
271;Information;Insurance policies;Accident insurance;Individual accident insurance;What is the difference between individual and collective insurance?;individual accident insurance, single insurance, collective insurance, difference
272;Information;Insurance policies;Accident insurance;Individual accident insurance;Is accident insurance also valid abroad?;coverage, individual accident insurance, abroad
273;Information;Insurance policies;Accidental insurance;Individual accident insurance;How do I make an informative calculation?;Individual accident insurance, general, informative calculation, agent, branch, online conclusion
274;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;General information;Individual accident insurance for youth, accident insurance for youth, general, basic information, coverage, when to conclude
275;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;Can I also conclude insurance at any time during the year?;conclusion, accident insurance for children and youth, special offer
276;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What do I need to do if I want to change the amount of insurance sums or add new coverage?;coverage, sum, accident insurance for children and youth, change, policy
277;Information;Insurance policies;Accident insurance;Accident insurance for children and adolescents;How to insure children or adolescents who are active athletes?;accident insurance for children and adolescents, athlete status, accident, coverage, active athletes, risky activity, injury
278;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;When does accident insurance for children and young people take effect?;accident insurance for children and youth, start, duration, validity
279;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;Does accident insurance also apply abroad and during holidays?;abroad, holidays, insurance validity, accident insurance for children and youth
280;Information;Insurance policies;Accident insurance;Accident insurance for children and adolescents;What is the coverage in case of an accident for people with athlete status?;accident insurance for children and adolescents, athlete status, coverage, accident, risky activities
281;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;How do I add sports risk coverage to an existing policy?;add coverage, extension, sports risk, existing policy, policy change
282;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;Until what age can students be insured?;students, age, young people's accident insurance, 26 years
283;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What does it mean that accident insurance for children and youth is without expiration?;without expiration, permanent, automatic renewal, conclusion, accident insurance for children and youth
284;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;Why is the premium higher after the age of 14?;Individual accident insurance for young people, accident insurance for young people, general, basic information, premium amount
285;Information;Insurance policies;Health;Additional insurance in case of accidental death;General information;accident, health, death, additional insurance in case of death
286;Information;Insurance policies;Health;Rehabilitation insurance after a traffic accident;General information;health, accident, spa, rehabilitation, traffic, additional insurance
287;Information;Insurance policies;Health;Insurance for rehabilitation after a traffic accident;Which vehicles are covered?;health, accident, traffic accident, rehabilitation, coverage, vehicle, skateboard, scooter, car, rollerblades, wheelchair
288;Information;Insurance policies;Health;Compensation insurance;General information;health, compensation, compensation insurance, Triglav Health
289;Information;Insurance policies;Health;Health advice;What does the insurance cover?;health, advice, health issues
290;Information;Insurance policies;Health;Specialists;What additional coverage can I take?;specialists, specialists +, health, advice, coverage
291;Information;Insurance policies;Health;Health advice;What does the insurance not cover?;health, advice, not insured, coverage, excludes
292;Information;Insurance policies;Health;Health advice;What are the coverage limitations?;health, limited coverage, limitations, advice
293;Information;Insurance policies;Health;Health advice;When and how can I pay the first premium amount?;health, advice, payment, payment deadline, payment method
294;Information;Insurance policies;Health;Health advice;When does the insurance start and when does it end?;health, end, beginning, validity, termination, advice, duration, automatic renewal
295;Information;Insurance policies;Health;Health advice;Where is the insurance valid?;area, scope of validity, countries, European Union
296;Information;Insurance policies;Health;Health advice;What are my obligations?;health, obligations, duties, advice, health point, 0802664
297;Information;Insurance policies;Health;Health advice;How can I cancel the contract?;health, contract termination, withdrawal from contract, advice
298;Information;Insurance policies;Health;Accident Specialists;What does the insurance cover?;health, specialists, accident, coverage
299;Information;Insurance policies;Health;Accident Specialists;What does the insurance not cover?;health, specialists, accident, coverage, scope, excludes
300;Information;Insurance policies;Health;Accident Specialists;What are the coverage limits?;health, specialists, accident, covered, limited coverage, covers, amount of insurance sum
301;Information;Insurance policies;Health;Accident Specialists;When and how can I pay the first premium amount?;health, specialists, accident, payment deadline, payment method
302;Information;Insurance policies;Health;Accident Specialists;When does the insurance start and when does it end?;health, specialists, accident, start, end, duration, validity
303;Information;Insurance policies;Health;Specialists Accident;Where is the insurance valid?;health, specialists, accident, where valid, countries, area, region
304;Information;Insurance policies;Health;Specialists Accident;What are my obligations?;health, specialists, accident, obligations, duties
305;Information;Insurance policies;Health;Accident Specialists;How can I terminate the contract?;health, specialists, accident, contract termination, withdrawal from contract
306;Information;Insurance policies;Health;Surgery Insurance;Which surgeries are covered?;health, surgeries, amount, coverage
307;Information;Insurance policies;Health;Supplementary health insurance;What does the insurance cover?;costs, coverage, supplementary, health insurance, additional
308;Information;Insurance policies;Health;Supplementary health insurance;Do recipients of social assistance have to pay the premium?;socially vulnerable, exempt, supplementary health insurance
309;Information;Insurance policies;Health;Teeth;What does the insurance cover?;teeth, coverage, health insurance, compensation, additional
310;Information;Insurance policies;Health;Teeth;What does the insurance not cover?;teeth, coverage, health insurance, limitations, exclusions
311;Information;Insurance policies;Health;Teeth;What are the coverage limitations?;teeth, coverage, health insurance, limited, compensation, insurance sum, coverage amount
312;Information;Insurance policies;Health;Teeth;When and how do I pay?;teeth, health insurance, payment method, payment deadline, how to pay, when to pay
313;Information;Insurance policies;Health;Teeth;When does the insurance start and when does it end?;teeth, health insurance, validity, starts, ends, end, beginning, duration
314;Information;Insurance policies;Health;Teeth;Where is the insurance valid?;teeth, coverage, health insurance, validity, where is it valid, country, area, region
315;Information;Insurance policies;Health;Teeth;What are my obligations?;teeth, health insurance, obligation, duty
316;Information;Insurance policies;Health;Teeth;How can I withdraw from the contract?;teeth, health insurance, termination of insurance, withdrawal from the contract
317;Information;Insurance policies;Health;Teeth+;What does the insurance cover?;teeth +, coverage, health insurance, obligation, duty, above standard
318;Information;Insurance policies;Health;Teeth+;What does the insurance not cover?;teeth +, health insurance, limitation, coverage
319;Information;Insurance policies;Health;Teeth+;What are the coverage limitations?;Teeth+, health insurance, limitation, coverage, restriction, 14 years
320;Information;Insurance policies;Health;Teeth+;When and how do I pay?;teeth +, health insurance, payment, payment method
321;Information;Insurance policies;Health;Teeth+;When does the insurance start and when does it expire?;teeth +, health insurance, takes effect, start, validity, duration, expiry, termination
322;Information;Insurance policies;Health;Teeth+;Where is the insurance valid?;teeth +, health insurance, country, area, validity, zone
323;Information;Insurance policies;Health;Teeth+;What are my obligations?;teeth+, health insurance, obligation, duty
324;Information;Insurance policies;Health;Teeth+;How can I terminate the contract?;teeth +, health insurance, termination, withdrawal, contract
325;Information;Insurance policies;Health;Teeth;How can I conclude Teeth, Teeth+ insurance?;teeth, conclusion, health insurance, teeth +
326;Information;Insurance policies;Health;Specialists;What does the insurance cover?;specialists, coverage, health insurance
327;Information;Insurance policies;Health;Specialists;What does the insurance not cover?;specialists, cover, health insurance, limitation
328;Information;Insurance policies;Health;Specialists;What are the coverage limitations?;specialists, limited coverage, health insurance, costs
329;Information;Insurance policies;Health;Specialists;When and how do I pay?;specialists, health insurance, payment
330;Information;Insurance policies;Health;Specialists;When does the insurance begin and when does it cease to be valid?;specialists, coverage, health insurance, start, termination, validity
331;Information;Insurance policies;Health;Specialists;Where is the insurance valid?;specialists, coverage, health insurance, area, region, country, where valid
332;Information;Insurance policies;Health;Specialists;What are my obligations?;specialists, obligations, health insurance, duties
333;Information;Insurance policies;Health;Specialists;How can I cancel the contract?;specialists, health insurance, cancellation of the contract, termination of insurance, termination
334;Information;Insurance policies;Health;Specialists+;What does the insurance cover?;specialists+, coverage, health insurance, cover
335;Information;Insurance policies;Health;Specialists+;What is not covered by the insurance?;specialists+, coverage, health insurance, coverage
336;Information;Insurance policies;Health;Specialists+;What are the coverage limits?;specialists+, limited coverage, health insurance, covers, coverage amount, insurance sum
337;Information;Insurance policies;Health;Specialists+;When and how do I pay?;specialists+, health insurance, payment method, payment deadline, maturity
338;Information;Insurance policies;Health;Specialists+;When does the insurance start and when does it cease to be valid?;specialists+, health insurance, validity, commencement, expiration, termination
339;Information;Insurance policies;Health;Specialists+;Where is the insurance valid?;specialists+, health insurance, validity, country, area, territory
340;Information;Insurance policies;Health;Specialists+;What are my obligations?;specialists+, health insurance, obligations, duties
341;Information;Insurance policies;Health;Specialists+;How can I cancel the contract?;specialists+, health insurance, cancellation of contract, termination of insurance
342;Information;Insurance policies;Health;Surgeries;What does the insurance cover?;surgeries, health insurance, coverage, payout
343;Information;Insurance policies;Health;Operations;What does the insurance not cover?;operations, health insurance, covers, scope
344;Information;Insurance policies;Health;Surgeries;What are the coverage limitations?;surgeries, health insurance, limited, insurance amount, payout amount, payout
345;Information;Insurance policies;Health;Operations;When and how do I pay?;operations, health insurance, payment deadline, payment method
346;Information;Insurance policies;Health;Operations;When does the insurance start and when does it expire?;operations, health insurance, validity, start duration, interruption
347;Information;Insurance policies;Health;Surgery;Where is the insurance valid?;surgery, health insurance, country, area, validity
348;Information;Insurance policies;Health;Operations;What are my obligations?;operations, health insurance, obligations, duties
349;Information;Insurance policies;Health;Operations;How can I cancel the contract?;operations, health insurance, contract termination, contract cancellation, withdrawal
350;Information;Insurance policies;Health;Sports activities insurance;General information;health, sports, coverage, validity, conditions, duration, general information
351;Information;Insurance policies;Health;Accident insurance for athletes;How can I conclude insurance?;health, sport, conclusion, conditions
352;Information;Insurance policies;Overview of concluded insurances;;What does the insurance cover?;overview of policies, concluded insurances
353;Information;Insurance policies;Amount/scope of coverage;;What is the scope of coverage? How much would the payout be?;amount of coverage, scope of coverage
354;Information;Insurance policies;Claiming coverages;;How can I withdraw money from the policy?;claiming coverages, withdrawal of funds, payment
355;Information;Insurance policies;Compensation amount;;Am I entitled to compensation?;compensation amount, daily compensation, accident insurance
356;Information;Insurance policies;Policy status;;What is the policy status?;policy status, value, amount
357;Information;Insurance policies;Renewal of insurance;;How can I renew my insurance?;renewal, debt, payment, life insurance
358;Information;Insurance policies;Termination of insurance;;How do I terminate the insurance?;termination of insurance, payout, dormancy, deadline, termination request
359;Information;Insurance policies;Termination of insurance;;When do the guarantees under the policy cease?;guarantee, termination, cessation, premium payment
360;Information;Insurance policies;Withdrawal, termination of insurance;;What happens if I withdraw from the contract?;withdrawal, insurance contract, withdrawal application
361;Information;Insurance policies;Cancellation, termination of insurance;;How do I terminate supplementary health insurance?;cancellation, health insurance, notice period
362;Information;Insurance policies;Withdrawal, cancellation of insurance;;When is it possible to cancel the insurance?;cancellation, notice period, quarterly
363;Information;Insurance policies;Insurance suspension;;How do I arrange insurance suspension?;suspension, request, payment
364;Information;Insurance policies;Advance insurance payment;;How do I request an advance payment or payout of the surrender value?;advance, payout, forms, documents
365;Information;Insurance policies;Advance payment of insurance;;When is the advance calculated?;advance, payment, calculation
366;Information;Insurance policies;Advance insurance;;What does the settlement day mean?;calculation, settlement day, advance, redemption
367;Information;Insurance policies;Automatic renewal of insurance;;Why did I receive an invoice if I didn't extend my insurance?;automatic renewal, home insurance, pet insurance, dog insurance, travel insurance, permanent insurance
368;Information;Insurance policies;Insurance without expiration;;What does insurance without expiration mean?;insurance without expiration, automatic renewal, permanent, conclusion
369;Information;Insurance policies;Changes in policy;;Who can be the premium payer?;beneficiary, payer, insurance amount
370;Information;Insurance policies;Changes in the policy;;How can I change the beneficiary on the policy?;beneficiary, payer, insured, insurer, change beneficiary
371;Information;Insurance policies;Changes to the policy;;How can I expand my coverage?;coverage expansion, policy, additional coverage
372;Information;Insurance policies;Changes to policy;;How can I change the insurer on the policy?;change, insurer, form, insurance policy
373;Information;Insurance policies;Bonus;;What is the value of the bonus?;amount, claiming, transfer, certificate, bonus, bonus certificate, car insurance
374;Information;Insurance policies;Bonus;;Where can I obtain a bonus certificate?;amount, claim, transfer, certificate, bonus, bonus certificate, car insurance
375;Information;Insurance policies;Deductible franchise;;What is a deductible franchise?;deductible franchise, amount of franchise, participation
376;Information;Insurance policies;Deductible franchise;;How much is the deductible franchise on the new value?;deductible franchise, franchise amount, new acquisition value
377;Information;Insurance policies;Deductible franchise;;What is the co-participation in case of damage?;deductible franchise, franchise amount, participation in damage
378;Information;Insurance policies;Providing documentation to the client;;How do I receive insurance documentation?;insurance documentation, certificate, provision
379;Information;Insurance policies;Providing documentation to the client;;How do I receive a duplicate policy?;duplicate policy, insurance, documentation, certificate, provision
380;Information;Insurance policies;Providing documentation to the client;;How do I obtain proof of premium class?;premium class, insurance documentation, certificate, proof
381;Information;Insurance policies;Providing documentation to the client;;How do I obtain a bonus certificate?;bonus, insurance documentation, certificate
382;Information;Insurance policies;Maturity - premium payment;;What is the procedure for premium payment?;information, forms, amount, transfer of funds, payment, procedure
383;Information;Insurance policies;Maturity - premium payment;;What is the procedure for paying out the insurance sum in case of the insured person's death?;payout, life insurance, death, insurance sum
384;Information;Insurance policies;Maturity - premium payment;;What is the difference between the surrender value and the value on the investment account?;surrender, payment, surrender value, investment account, asset value
385;Information;Insurance policies;Maturity - premium payment;;How is the buyback calculated?;buyback, amount, payment, receipt of documentation, calculation, settlement day
386;Information;Insurance policies;Maturity - policy expiration, policy experience;;What is the procedure at the expiration of the policy or policy experience?;forms, new policy, policy experience, automatic renewal, policy experience notification, political exposure, tax residency
387;Information;Insurance policies;Expiration - policy expiration, occurrence;;Is it allowed to drive a vehicle after the insurance has expired?;insurance expiration, AO, car insurance
388;Information;Insurance policies;Maturity - policy expiry, realization;;What to do when student status is terminated and health insurance expires?;expiry of insurance, status expiry, students, health insurance
389;Information;Damages;Damage report - form;;How do I report damage?;damage report, form, accident
390;Information;Damage;Damage report - form;;Where can I find the form for reporting damage?;additional documents, pictures, certificates, proofs, statements
391;Information;Damages;Procedure for dealing with damage;;In which cases do I need to inform the police?;damage assessment, assessment procedure, comprehensive insurance, police notification, appraiser, evidence
392;Information;Claims;Procedure for dealing with a claim;;How to act in the event of a claim?;damage event, claim registration, evidence, valuation, act
393;Information;Damages;Damage assessment;;What is the damage assessment procedure?;estimate, appointment, location, remote damage assessment, Skplus service, SK+, repair, assessor, evidence
394;Information;Claims;Claim status and payout;;What is the procedure for handling claims?;Skplus service, SK+, repair, claim handling
395;Information;Damages;Damage status and payment;;When will the damage be paid?;status of appraisal, payment date, payment, appraisal, damage
396;Information;Damages;Damage status and payout;;What is the status of my damage?;status of assessment, payout date, payout, assessment, damage
397;Information;Damages;Time for damage/accident reporting;;What is the deadline for reporting damages?;damage reporting, damage event, deadline for damage reporting
398;Information;Damages;Time for reporting a damage / accident;;What to do in case of a missed deadline for reporting damages?;deadline for reporting damages, 3-day deadline, damage event
399;Information;Claims;International claims;;What is the status of my international claim?;international claim
400;Information;Damage;Online damage report;;How to report damage online?;online damage report, type of damage, itriglav, damage report, form
401;Information;General information;Opening hours, contacts;;Where can I find the contact of a representative?;representative, contact, order representative
402;Information;General information;Opening hours, contacts;;Where can I check the working hours of the branch?;branch, working hours, opening hours
403;Information;General information;Donations, sponsorships;;What are the sponsorship or donation options?;association, sponsorship, donation
404;Information;General information;Benefits;;What are the benefits for young drivers?;benefits, young drivers, promotion
405;Information;General information;Employment, CVs;;What are the employment opportunities at ZT?;employment, human resources, CV, resume
406;Information;General information;B2B offer;;Where can I submit a B2B service offer?;mailing, gifts, seminars, greetings
407;Information;General information;Information regarding the visit of an agent/representative;;Has your representative contacted me?;visit of agent, representative, visit of consultant, triglav advice, tris
408;Information;General information;Information regarding visits from agent/representative;;How can I cancel an agreed appointment with a consultant/representative?;agent visit, representative visit, consultant visit, triglav consulting
409;Information;General information;Order a representative;;Where can I find contact information for insurance conclusion?;order a representative, website, online conclusion
410;Information;GDPR;Revocation and consent;;How do I cancel the confirmation for direct marketing?;GDPR, revocation, marketing
411;Information;GDPR;Revocation and consent;;What to do in case of receiving foreign documentation?;wrong data, correction on policy, foreign documentation, wrong person, recipient
412;Information;GDPR;Revocation and consent;;How do I withdraw consent for the collection of personal data?;GDPR, data protection, violations, personal data, sensitive data, withdrawal of data collection
413;Information;GDPR;Revocation and consent;;How do I submit a request for deleting collected data?;GDPR, data protection, violations, personal data, sensitive data, data deletion
414;Information;GDPR;Revocation and consent;;How do I submit a request for the deletion of collected personal data?;GDPR, data protection, violations, personal data, sensitive data, data output
415;Information;GDPR;Revocation and Consent;;How do I arrange the transfer of personal data to another insurance company?;GDPR, data protection, violations, personal data, sensitive data, data transfer
416;Information;Help desk - internal public;Content support;;Content support for employees;circular, drajv code, help desk
417;Information;Help desk - internal public;Technical support;;Technical support for employees;circular, drajv code, help desk
418;Information;Help desk - internal public;Other;;Employee support;interested, claim status, request, help desk, password, e-court
419;Information;Banks;Content support;;What is the coverage scope?;bank, coverage, investment, card
420;Information;Banks;Technical Support;;What can I do if the application reports an error?;error in application, technical support, technical issue
421;Information;Marketing campaigns;Motorcyclists;;What is the amount of the discount when not returning the premium?;discount, bonus, motorcyclists, early termination of insurance, agreement on non-refund of unused premium part
422;Information;Marketing campaigns;Scarf for first-graders;;How do I get a scarf for a first-grader?;scarves for first-graders, Kuža pazi, scarf
423;Information;Marketing campaigns;Planica;;How can I follow the ski jumping in Planica remotely?;remote viewing, Planica
424;Information;Marketing campaigns;Planica;;When will the Planica winners be announced?;prize game, Planica, winners
425;Information;Marketing actions;Planica;;How do I secure a ticket to watch Planica remotely?;ticket, transferability of ticket, winners, remote viewing code
426;Information;Praise;Praise - general, content-related;;Forwarding praise;praise, forwarding
427;Information;Complaint;Complaint - general, substantive;;Complaint about the execution of the service;complaint, complaint procedure, service
428;Information;Complaint;Complaint - general, substantive;;Complaint about the attitude of an employee;complaint, complaint procedure, attitude of appraiser, attitude of employee
429;Information;Complaint;Complaint - general, content-related;;Complaint about valuation;complaint, complaint procedure, valuation, damage
430;Information;Complaint;Complaint - general, content-related;;Complaint about the notice period;complaint, complaint procedure, notice period, insurance terms
431;Information;Website;Informative calculation;;How do I make an informative calculation online?;informative calculation, online conclusion, agent, conclusion
432;Information;Website;Conclusion of insurance;;What does activation threshold mean?;activation threshold, insurance terms
433;Information;Website;Conclusion of insurance;;What is the meaning of the annual aggregate?;annual aggregate, website, documentation
434;Information;Website;Conclusion of insurance;;How do I calculate the amount of co-participation?;co-participation, deductible franchise, conditions, contract
435;Information;Website;Information;;Where can I access forms and documents?;general, forms, conditions, contacts, website, documents
436;Information;Website;Information;;What are the options for online insurance contracting?;web, contracting, remote, online
437;Information;Website;Operating issues;;The contract conclusion page is not working, what can I do?;website not working, informative calculation not working, interactive forms
438;Information;Website;Operating problems;;What can I do in case of an error when concluding online?;input error, online insurance conclusion
439;Information;Website;Operating problems;;What can I do if interactive forms are not working?;interactive forms, online insurance conclusion
440;Information;Website;Functionality issues;;Why am I getting a warning about entering incorrect data?;warning, incorrect data entry, online insurance conclusion
441;Information;Website;Video identification;;How do I resolve issues with video identification?;video identification, identification problems, browser, webcam
442;Information;Remote conclusion;e-pen errors/incorrect data on the policy;;How can I fix errors on the policy?;errors on the policy, online conclusion, e-pen, data change
443;Information;Remote conclusion;Documentation;;How can I send you the signed documents?;submission of documents, e-pen, signature
